公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收,年月,上市別,年,月
1449,佳和,-,-14.4,163037,25.01,111626,139548,25.01,111626,139548,110/01,TSE,110,1
1451,年興,-,-21.98,695510,-15.82,644616,542580,-15.82,644616,542580,110/01,TSE,110,1
1452,宏益,-,-6.95,183208,48.9,114486,170473,48.9,114486,170473,110/01,TSE,110,1
1454,台富,-,-7.58,130643,1.78,118611,120729,1.78,118611,120729,110/01,TSE,110,1
1455,集盛,-,-0.88,836143,21.93,679676,828749,21.93,679676,828749,110/01,TSE,110,1
1457,宜進,-,1.28,313004,6.99,296309,317026,6.99,296309,317026,110/01,TSE,110,1
1459,聯發,109年適逢過年，實際銷售天數23天，致本期營業收入淨額較去年同期增加。,-0.75,237455,64.09,143616,235665,64.09,143616,235665,110/01,TSE,110,1
1460,宏遠,-,5.08,753725,24.89,634183,792034,24.89,634183,792034,110/01,TSE,110,1
1463,強盛,-,13.5,32329,6.47,34463,36696,6.47,34463,36696,110/01,TSE,110,1
1464,得力,-,-13.71,1006364,-1.44,881034,868295,-1.44,881034,868295,110/01,TSE,110,1
1465,偉全,-,-38.07,43701,-23.69,35466,27063,-23.69,35466,27063,110/01,TSE,110,1
1466,聚隆,-,-21.13,315137,9.14,227705,248522,9.14,227705,248522,110/01,TSE,110,1
1467,南緯,-,-34.62,711037,5.17,441942,464808,5.17,441942,464808,110/01,TSE,110,1
1468,昶和,去年因春節假日故工作天數減少比較基期數據偏低所致。,22.5,100442,61.57,76156,123050,61.57,76156,123050,110/01,TSE,110,1
1470,大統新創,-,0.43,64923,21.5,53667,65206,21.5,53667,65206,110/01,TSE,110,1
1472,三洋實業,-,21.49,21894,-9.33,29339,26601,-9.33,29339,26601,110/01,TSE,110,1
1473,台南,-,23.05,497702,-24.06,806567,612453,-24.06,806567,612453,110/01,TSE,110,1
1474,弘裕,為去(109)年1月適逢農曆春節假期致工作天數減少，比較基期數據偏低所致,-1.49,277543,58.04,172985,273395,58.04,172985,273395,110/01,TSE,110,1
1475,業旺,主要開始銷售染劑產品,-77.15,45360,232.4,3117,10361,232.4,3117,10361,110/01,TSE,110,1
1476,儒鴻,-,-24.82,3702424,20.95,2300958,2783179,20.95,2300958,2783179,110/01,TSE,110,1
1477,聚陽,-,10.43,2156588,13.81,2092533,2381607,13.81,2092533,2381607,110/01,TSE,110,1
4414,如興,-,6.21,1152030,-7.85,1327928,1223675,-7.85,1327928,1223675,110/01,TSE,110,1
4426,利勤,-,-17.98,103931,-32.76,126774,85240,-32.76,126774,85240,110/01,TSE,110,1
4438,廣越,-,17.29,511643,-17.5,727482,600145,-17.5,727482,600145,110/01,TSE,110,1
4440,宜新實業,-,-0.83,132252,9.9,119335,131153,9.9,119335,131153,110/01,TSE,110,1
1503,士電,-,-8.25,3063805,12.9,2489575,2810779,12.9,2489575,2810779,110/01,TSE,110,1
1504,東元,-,-19.07,4868158,3.69,3799231,3939500,3.69,3799231,3939500,110/01,TSE,110,1
1506,正道,-,28.25,67736,3.25,84135,86872,3.25,84135,86872,110/01,TSE,110,1
1513,中興電,-,-52.93,3196653,48.61,1012380,1504562,48.61,1012380,1504562,110/01,TSE,110,1
1514,亞力,-,-29.47,567071,4.01,384478,399915,4.01,384478,399915,110/01,TSE,110,1
1515,力山,客戶銷售狀況好增加採購量,-5.44,1671850,214.12,503251,1580814,214.12,503251,1580814,110/01,TSE,110,1
1517,利奇,"主係自行車零組件受惠全球自行車零售巿場持續熱銷,造就本公司集團出貨量及金額大增。",-13.72,411896,77.87,199773,355350,77.87,199773,355350,110/01,TSE,110,1
1519,華城,-,-65.15,1346437,-36.23,735811,469183,-36.23,735811,469183,110/01,TSE,110,1
1526,日馳,因市場需求增加，致本月營收優於去年同期。,-13.68,131704,53.41,74103,113686,53.41,74103,113686,110/01,TSE,110,1
